Groupe 1 : Bâtiments et Infrastructures Sportives;;;;;
Code;Désignation/Caractéristiques;;Minimum;Moyen;Maximum
03.1.1;BATIMENT EN REZ DE CHAUSSEE SIMPLE TOITURE LEGERE (ECOLE, CSPS, LOGEMENT, LATRINE, BATIMENT ADMINISTRATIF, ETC);;;;
03.1.1.1;INSTALLATION GENERALE DE CHANTIER;;;;
03.1.1.1.0.001;Contrôle de la qualité et de la mise en œuvre des matériaux et des équipements (protocole d'accord avec un organisme agréé);Ensemble;Nd;Nd;Nd
03.1.1.1.0.002;Installation de chantier /Amenée et repli du matériel;Ensemble;Nd;Nd;Nd
03.1.1.1.0.003;Installation de chantier/Amenée et repli du matériel  comprenant préparation des surfaces, construction de bureaux de chantier équipé, clôture provisoire, panneau de chantier, branchement provisoire eau et électricité, frais divers;Ensemble;Nd;Nd;Nd
03.1.1.1.0.004;Panneaux de chantier;Unité;180 000;232 500;300 000
03.1.1.2;TRAVAUX PREPARATOIRES ET TERRASSEMENT;;;;
03.1.1.2.0.001;Abattage d'arbres de diamètre sup à 1m mesuré à 1m du sol;Unité;17 000;21 000;25 000
03.1.1.2.0.002;Débroussaillage décapage et nivellement manuel;m²;750;875;1 000
03.1.1.2.0.003;Fouille en puits  pour semelles isolées;m³;4 000;5 165;6 500
03.1.1.2.0.004;Fouille en rigole pour semelles filantes;m³;3 500;4 375;5 500
03.1.1.2.0.005;Implantation de l'ouvrage;Forfait;375 000;465 000;600 000
03.1.1.2.0.006;Implantation de l'ouvrage;m²;1 000;1 235;1 500
03.1.1.2.0.007;Implantation de l'ouvrage a l'aide d'un appareil topo;Forfait;600 000;775 000;1 000 000
03.1.1.2.0.008;Implantation de l'ouvrage a l'aide d'un appareil topo;m²;2 500;3 250;4 000
03.1.1.2.0.009;Nivellement mécanique sans apport de terre;m²;4 000;5 000;6 000
03.1.1.2.0.010;Nivellement mécanique avec apport de terre;m²;5 000;5 500;6 000
03.1.1.2.0.011;Remblai d'apport latéritique compacté à 95% de l'optimum proctor modifié;m³;7 000;7 835;8 500
03.1.1.2.0.012;Remblai hydraulique à 95% de l'optimum proctor modifié;m³;8 000;8 665;10 000
03.1.1.2.0.013;Remblai sans apport latéritique compacté à 95% de l'optimum proctor modifié;m³;2 500;3 165;4 000
03.1.1.3;INFRASTRUCTURES;;;;
03.1.1.3.0.001;Barbotine dans les fouilles;m²;4 500;5 500;7 000
03.1.1.3.0.002;Béton armé dosé à 350 kg/m³ pour amorces de poteaux;m³;150 000;175 000;200 000
03.1.1.3.0.003;Béton armé dosé à 350 kg/m³ pour chaînage bas;m³;150 000;175 000;200 000
03.1.1.3.0.004;Béton armé dosé à 350 kg/m³ pour semelles filantes;m³;150 000;175 000;200 000
03.1.1.3.0.005;Béton armé dosé à 350 kg/m³ pour semelles isolées;m³;150 000;175 000;200 000
03.1.1.3.0.006;Béton armé hydrofuge dosé à 350 kg/m³ pour semelles;m³;150 000;175 000;200 000
03.1.1.3.0.007;Béton cyclopéen dosé à 250 kg/m³ pour fondation;m³;80 000;90 000;100 000
03.1.1.3.0.008;Béton cyclopéen dosé à 300 kg/m³ pour fondation;m³;90 000;100 000;110 000
03.1.1.3.0.009;Béton de propreté dosé à 150 kg/m³;m³;50 000;61 665;70 000
03.1.1.3.0.010;Béton légèrement armé pour dallage dosé à 300 kg/m³ et socles d'épaisseur 10 cm y compris chape incorporée et bouchardée;m³;100 000;113 335;130 000
03.1.1.3.0.011;Béton légèrement armé pour dallage dosé à 300 kg/m³ et socles d'épaisseur 15 cm y compris chape incorporée et bouchardée;m³;100 000;113 335;130 000
03.1.1.3.0.012;Béton légèrement armé pour dallage dosé à 300 kg/m³ et socles d'épaisseur 8 cm y compris chape incorporée et bouchardée;m³;100 000;113 335;130 000
03.1.1.3.0.013;Fourniture et pose film polyane sous dallage ép. 200 microns;m²;1 000;1 250;1 500
03.1.1.3.0.014;Maçonnerie en agglos pleins de 10x20x40 cm;m²;9 000;10 335;12 000
03.1.1.3.0.015;Maçonnerie en agglos pleins de 15x20x40 cm;m²;11 000;12 665;14 000
03.1.1.3.0.016;Maçonnerie en agglos pleins de 20x20x40 cm;m²;10 000;13 000;15 000
03.1.1.3.0.017;Maçonnerie en agglos pleins de 10x20x40 cm  avec agglos confectionné mécaniquement;m²;15 000;16 000;17 000
03.1.1.3.0.018;Maçonnerie en agglos pleins de 15x20x40 cm  avec agglos confectionné mécaniquement;m²;15 000;16 665;18 000
03.1.1.3.0.019;Maçonnerie en agglos pleins de 20x20x40 cm avec agglos confectionné mécaniquement;m²;17 000;18 500;20 000
03.1.1.3.0.020;Traitement anti-termites y compris film polyéthylène 180 µm  posé par thermolaquage;m²;3 500;4 165;5 000
03.1.1.4;SUPERSTRUCTURES MACONNERIES;;;;
03.1.1.4.0.001;Béton  armé dosé à 350 kg/m³ pour chainage;m³;130 000;140 000;150 000
03.1.1.4.0.002;Béton armé dosé à 300 kg/m³  pour appuis de baies;m³;130 000;140 000;150 000
03.1.1.4.0.003;Béton armé dosé à 300 kg/m³  pour marches d'accès et emmarchement;m³;110 000;120 000;130 000
03.1.1.4.0.004;Béton armé dosé à 350 kg/m³  pour  couronnement;m³;110 000;120 000;130 000
03.1.1.4.0.005;Béton armé dosé à 350 kg/m³  pour acrotère (appui de tôle);m³;110 000;120 000;130 000
03.1.1.4.0.006;Béton armé dosé à 350 kg/m³  pour chainage d'arase;m³;130 000;140 000;150 000
03.1.1.4.0.007;Béton armé dosé à 350 kg/m³  pour élément décoratif;m³;150 000;160 000;170 000
03.1.1.4.0.008;Béton armé dosé à 350 kg/m³  pour linteaux;m³;130 000;140 000;150 000
03.1.1.4.0.009;Béton armé dosé à 350 kg/m³  pour poteaux;m³;150 000;166 665;200 000
03.1.1.4.0.010;Béton armé dosé à 350 kg/m³  pour poutres;m³;160 000;180 000;200 000
03.1.1.4.0.011;Béton armé dosé à 350 kg/m³  pour raidisseurs;m³;130 000;140 000;150 000
03.1.1.4.0.012;Béton armé dosé à 350kg/m³   pour chainage rampant;m³;130 000;140 000;150 000
03.1.1.4.0.013;Béton légèrement armé dosé à 300 kg/m³ pour extrade;m³;180 000;200 000;220 000
03.1.1.4.0.014;Béton non armé dosé à 300 kg/m³ pour estrade et marche d'entrée;m³;120 000;150 000;190 000
03.1.1.4.0.015;Béton non armé dosé à 300 kg/m³ pour marche et rampe;m³;130 000;140 000;150 000
03.1.1.4.0.016;Béton armé hydrofuge dosé à 400kg/m³;m³;170 000;190 000;210 000
03.1.1.4.0.017;Chape lisse et bouchardé;m²;6 000;7 000;8 000
03.1.1.4.0.018;Claustras de ventilation munis de grillage anti insectes;Unité;2 000;2 500;3 000
03.1.1.4.0.019;Enduit lisse au mortier de ciment dosé à 600kg/m³ pour tableau noir d'épaisseur 6 cm y compris grillage poulailler;m²;5 000;6 000;7 000
03.1.1.4.0.020;Enduit extérieur d'esthétique au mortier de ciment dosé à 400kg/m³ d'épaisseur 2,50cm sur la façade;m²;4 500;5 165;6 000
03.1.1.4.0.021;Enduit extérieur taloché  au mortier de ciment dosé à 400kg/m³ d'épaisseur 2,50cm;m²;4 500;5 165;6 000
03.1.1.4.0.022;Enduit intérieur bicouche  au mortier de ciment dosé à 400kg/m³ d'épaisseur 4,00cm y compris raccordement;m²;9 000;10 335;12 000
03.1.1.4.0.023;Enduit intérieur lissé au mortier de ciment dosé à 400kg/m³ d'épaisseur 2,50cm;m²;5 000;5 500;6 000
03.1.1.4.0.024;Enduit intérieur au mortier de ciment dosé à 400kg/m³ d'épaisseur 2,50cm y compris raccordement et calfeutrement;m²;5 000;5 665;6 500
03.1.1.4.0.025;Enduit tyrolien;m²;2 500;3 000;3 500
03.1.1.4.0.026;Enduits tyroliens au ciment blanc écrasés;m²;2 500;3 000;3 500
03.1.1.4.0.027;Fourniture et pose de polystyrène de 0,10 cm pour joint de dilatation;m²;1 000;1 665;2 500
03.1.1.4.0.028;Fourniture et pose de polystyrène de 0,10 cm pour joint de dilatation avec couvre joint en alu;ml;11 500;12 000;12 500
03.1.1.4.0.029;Fourniture et pose de polystyrène de 2 cm pour joint de dilatation avec couvre joint en alu;ml;11 500;12 000;12 500
03.1.1.4.0.030;Fourniture et pose de polystyrène de 2,5 cm pour joint de dilatation avec couvre joint en alu;ml;12 000;12 500;13 000
03.1.1.4.0.031;Fourniture et pose de polystyrène de 2 cm pour joint de dilation;ml;4 000;4 500;5 000
03.1.1.4.0.032;Fourniture et pose de polystyrène de 2,5 cm  pour joint de dilation;m²;4 500;5 000;5 500
03.1.1.4.0.033;Lit de sable sous dalle d'une épaisseur de 10 cm;m²;3 000;3 500;4 000
03.1.1.4.0.034;Lit de sable sous dalle d'une épaisseur de 5 cm;m²;1 500;1 750;2 000
03.1.1.4.0.035;Maçonnerie d'agglos creux au mortier de ciment de 10x20x40 cm;m²;7 500;8 165;9 000
03.1.1.4.0.036;Maçonnerie d'agglos creux au mortier de ciment  de 15x20x40 cm;m²;8 000;9 000;10 000
