Groupe 1 : Bâtiments et Infrastructures Sportives;;;;;
Code;Désignation/Caractéristiques;Conditionnement;Minimum;Moyen;Maximum
03.1.1;BATIMENT NEUF;;;;
03.1.1.1;INSTALLATION GENERALE DE CHANTIER;;;;
03.1.1.1.0.0.001;Installation de chantier /Amenée et repli du matériel;Ensemble;nd;nd;nd
03.1.1.1.0.0.002;Installation de chantier/Amenée et repli du matériel comprenant préparation des surfaces, construction de bureaux de chantier équipé, clôture provisoire, panneau de chantier, branchement provisoire eau et électricité, frais divers;Ensemble;nd;nd;nd
03.1.1.1.0.0.003;Panneaux de chantier structure métallique;m²;45 940;48 620;52 500
03.1.1.1.0.0.004;Panneaux de chantier structure bois;m²;35 000;39 240;45 000
03.1.1.2;TRAVAUX PREPARATOIRES ET TERRASSEMENT;;;;
03.1.1.2.0.0.001;Abattage d'arbres de circonférence sup à 1m mesuré à 1m du sol;Unité;35 000;38 350;42 000
03.1.1.2.0.0.002;Débroussaillage manuel;m²;450;465;500
03.1.1.2.0.0.003;Décapage et nivellement;m²;1 300;1 350;1 450
03.1.1.2.0.0.004;Fouille en puits  pour semelles isolées;m³;5 250;5 665;6 000
03.1.1.2.0.0.005;Fouille en rigole pour semelles filantes;m³;4 500;4 750;5 000
03.1.1.2.0.0.006;Implantation de l'ouvrage à l'aide d'un appareil topo;m²;3 500;3 835;4 000
03.1.1.2.0.0.007;Implantation de l'ouvrage en élévation à l'aide d'un appareil topo;ml;12 500;13 750;15 000
03.1.1.2.0.0.008;Nivellement mécanique sans apport de terre;m²;5 000;5 250;5 500
03.1.1.2.0.0.009;Nivellement mécanique avec apport de terre;m²;12 500;12 750;13 000
03.1.1.2.0.0.010;Remblai d'apport latéritique compacté à 95% de l'optimum proctor modifié;m³;10 000;10 915;12 000
03.1.1.2.0.0.011;Remblai hydraulique;m³;11 000;11 665;12 000
03.1.1.2.0.0.012;Remblai sans apport latéritique compacté;m³;3 000;3 210;3 500
03.1.1.3.1;BATIMENT SIMPLE A TOITURE LEGERE (Ouvrages organisés et équipés ne comportant pas de superposition d’éléments.)  : ECOLE, CSPS, LOGEMENT, LATRINE, BATIMENT ADMINISTRATIF, ETC.;;;;
03.1.1.3.1.0.001;Barbotine dans les fouilles;m²;3 500;3 760;4 000
03.1.1.3.1.0.002;Béton armé dosé à 350 kg/m³ pour amorces de poteaux;m³;165 000;187 500;197 917
03.1.1.3.1.0.003;Béton armé dosé à 350 kg/m³ pour chaînage bas;m³;165 000;187 500;197 917
